English,German,French,Spanish
Dog,Hund,Chien,Perro
Cat,Katze,Chat,Gato
Elephant,Elefant,Elephant,Elefante
Lion,Lowe,Lion,Leon
Tiger,Tiger,Tigre,Tigre
Bear,Baer,Ours,Oso
Rabbit,Hase,Lapin,Conejo
Fish,Fisch,Poisson,Pescado
Horse,Pferd,Cheval,Caballo
Frog,Frosch,Grenouille,Rana
Duck,Ente,Canard,Pato
Goat,Ziege,Cabri,Cabra
Monkey,Affe,Singe,Mono
Panda,Panda,Panda,Panda
Kangaroo,Kaenguru,Kangourou,Canguro
Snake,Schlange,Serpent,Serpiente
Hamster,Hamster,Hamster,Hámster
Parrot,Papagei,Papillon,Loro
Squirrel,Eichhoernchen,Ecureuil,Ardilla
Wolf,Wolf,Loup,Lobo
Deer,Hirsch,Cerf,Ciervo
