English,German,French,Spanish
Reading,Lesen,Lecture,Lectura
Swimming,Schwimmen,Natation,Natación
Cycling,Radfahren,Cyclisme,Ciclismo
Dancing,Tanzen,Danse,Bailar
Singing,Singen,Chanter,Cantar
Cooking,Kochen,Cuisine,Cocinar
Drawing,Zeichnen,Dessiner,Dibujar
Painting,Malen,Peindre,Pintar
Writing,Schreiben,Écrire,Escribir
Gardening,Gartenarbeit,Jardinage,Jardiner
Photography,Fotografie,Photographie,Fotografía
Traveling,Reisen,Voyager,Viajar
Collecting,Sammlung,Collection,Recolección
Fishing,Fischen,Pêche,Pesca
Hiking,Wandern,Randonnée,Caminata
Running,Laufen,Course,Carrera
Gaming,Gaming,Jouer,Juego
Knitting,Stricken,Tricoter,Tejer
Yoga,Yoga,Yoga,Yoga
