English,German,French,Spanish
Apple,Apfel,Pomme,Manzana
Banana,Banane,Banane,Plátano
Orange,Orange,Orange,Naranja
Grapes,Trauben,Raisin,Uva
Pineapple,Ananas,Ananas,Piña
Strawberry,Erdbeere,Fraise,Fresa
Watermelon,Wassermelone,Pastèque,Sandía
Tomato,Tomate,Tomate,Tomate
Lettuce,Salat,Laitue,Lechuga
Carrot,Möhre,Carotte,Zanahoria
Chicken,Hühnchen,Poulet,Pollo
Beef,Rindfleisch,Boeuf,Carne de res
Fish,Fisch,Poisson,Pescado
Bread,Brot,Pain,Pan
Cheese,Käse,Fromage,Queso
Milk,Milch,Lait,Leche
Coffee,Kaffee,Café,Café
Tea,Tee,Thé,Té
Juice,Saft,Jus,Jugo
