English,German,French,Spanish
One,Eins,Un,Uno
Two,Zwei,Deux,Dos
Three,Drei,Trois,Tres
Four,Vier,Quatre,Cuatro
Five,Fünf,Cinq,Cinco
Six,Sechs,Six,Seis
Seven,Sieben,Sept,Siete
Eight,Acht,Huit,Ocho
Nine,Neun,Neuf,Nueve
Ten,Zehn,Dix,Diez
Eleven,Elf,Onze,Once
Twelve,Zwölf,Douze,Doce
Thirteen,Dreizehn,Treize,Trece
Fourteen,Vierzehn,Quatorze,Catorce
Fifteen,Fünfzehn,Quinze,Quince
Sixteen,Sechzehn,Seize,Dieciséis
Seventeen,Siebzehn,Dix-sept,Diecisiete
Eighteen,Achtzehn,Dix-huit,Dieciocho
Nineteen,Neunzehn,Dix-neuf,Diecinueve
Twenty,Zwanzig,Vingt,Veinte
One Hundred,Einhundert,Cent,Cien
One Thousand,Eintausend,Mille,Mil
Ten Thousand,Zehntausend,Dix mille,Diez mil
One Hundred Thousand,Einhunderttausend,Cent mille,Cien mil
One Million,Eine Million,Un million,Un millón
