English,German,French,Spanish
Dog,Hund,Chien,Perro
Cat,Katze,Chat,Gato
Elephant,Elefant,Elephant,Elefante
Lion,Lowe,Lion,Leon
Tiger,Tiger,Tigre,Tigre
Bear,Baer,Ours,Oso
Rabbit,Hase,Lapin,Conejo
Fish,Fisch,Poisson,Pescado
Horse,Pferd,Cheval,Caballo
Frog,Frosch,Grenouille,Rana
Duck,Ente,Canard,Pato
Goat,Ziege,Cabri,Cabra
Monkey,Affe,Singe,Mono
Panda,Panda,Panda,Panda
Kangaroo,Kaenguru,Kangourou,Canguro
Snake,Schlange,Serpent,Serpiente
Hamster,Hamster,Hamster,Hámster
Parrot,Papagei,Papillon,Loro
Squirrel,Eichhoernchen,Ecureuil,Ardilla
Wolf,Wolf,Loup,Lobo
Deer,Hirsch,Cerf,Ciervo
Reading,Lesen,Lecture,Lectura
Swimming,Schwimmen,Natation,Natación
Cycling,Radfahren,Cyclisme,Ciclismo
Dancing,Tanzen,Danse,Bailar
Singing,Singen,Chanter,Cantar
Cooking,Kochen,Cuisine,Cocinar
Drawing,Zeichnen,Dessiner,Dibujar
Painting,Malen,Peindre,Pintar
Writing,Schreiben,Écrire,Escribir
Gardening,Gartenarbeit,Jardinage,Jardiner
Photography,Fotografie,Photographie,Fotografía
Traveling,Reisen,Voyager,Viajar
Collecting,Sammlung,Collection,Recolección
Fishing,Fischen,Pêche,Pesca
Hiking,Wandern,Randonnée,Caminata
Running,Laufen,Course,Carrera
Gaming,Gaming,Jouer,Juego
Knitting,Stricken,Tricoter,Tejer
Yoga,Yoga,Yoga,Yoga
Red,Rott,Rouge,Rojo
Blue,Bla,Blue,Azul
Yellow,Gelb,Jaune,Amarillo
Green,Gruen,Vert,Verde
Purple,Lila,Violet,Violeta
Orange,Orange,Orange,Naranja
Pink,Rosa,Rose,Rosa
Brown,Braun,Marron,Marrón
Black,Schwarz,Noir,Negro
White,Weiss,Blanc,Blanco
Grey,Grau,Gris,Gris
Apple,Apfel,Pomme,Manzana
Banana,Banane,Banane,Plátano
Orange,Orange,Orange,Naranja
Grapes,Trauben,Raisin,Uva
Pineapple,Ananas,Ananas,Piña
Strawberry,Erdbeere,Fraise,Fresa
Watermelon,Wassermelone,Pastèque,Sandía
Tomato,Tomate,Tomate,Tomate
Lettuce,Salat,Laitue,Lechuga
Carrot,Möhre,Carotte,Zanahoria
Chicken,Hühnchen,Poulet,Pollo
Beef,Rindfleisch,Boeuf,Carne de res
Fish,Fisch,Poisson,Pescado
Bread,Brot,Pain,Pan
Cheese,Käse,Fromage,Queso
Milk,Milch,Lait,Leche
Coffee,Kaffee,Café,Café
Tea,Tee,Thé,Té
Juice,Saft,Jus,Jugo
One,Eins,Un,Uno
Two,Zwei,Deux,Dos
Three,Drei,Trois,Tres
Four,Vier,Quatre,Cuatro
Five,Fünf,Cinq,Cinco
Six,Sechs,Six,Seis
Seven,Sieben,Sept,Siete
Eight,Acht,Huit,Ocho
Nine,Neun,Neuf,Nueve
Ten,Zehn,Dix,Diez
Eleven,Elf,Onze,Once
Twelve,Zwölf,Douze,Doce
Thirteen,Dreizehn,Treize,Trece
Fourteen,Vierzehn,Quatorze,Catorce
Fifteen,Fünfzehn,Quinze,Quince
Sixteen,Sechzehn,Seize,Dieciséis
Seventeen,Siebzehn,Dix-sept,Diecisiete
Eighteen,Achtzehn,Dix-huit,Dieciocho
Nineteen,Neunzehn,Dix-neuf,Diecinueve
Twenty,Zwanzig,Vingt,Veinte
One Hundred,Einhundert,Cent,Cien
One Thousand,Eintausend,Mille,Mil
Ten Thousand,Zehntausend,Dix mille,Diez mil
One Hundred Thousand,Einhunderttausend,Cent mille,Cien mil
One Million,Eine Million,Un million,Un millón
